region_id,matched_legend_id,match_score,symbol_final,symbol_terminal,symbol_html,symbol_latex,symbol_conf,legend_text,legend_color_name,legend_color_rgb,area_px,centroid_x,centroid_y
2533,35,0.9310446228019987,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",14028,4116.484848484848,4311.378787878788
2534,3,0.9936004671355138,Unknown,Unknown,,Unknown,0.0,,khaki,"[236, 236, 139]",1485,4868.972222222223,4310.416666666667
2535,34,0.7474374184601957,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1585,113.83333333333333,4317.666666666667
2536,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1426,6378.0,4323.0
2537,59,0.9967000866647018,Unknown,Unknown,,Unknown,0.0,,khaki,"[239, 237, 116]",17737,1957.892857142857,4293.946428571428
2538,25,1.0,Unknown,Unknown,,Unknown,0.0,,limegreen,"[64, 236, 83]",15025,2456.875,4346.583333333333
2539,34,0.9745210557055536,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",2232,4830.2,4354.909090909091
2540,57,0.8943035951097128,Unknown,Unknown,,Unknown,0.0,,wheat,"[236, 224, 188]",3982,3619.304347826087,4337.45652173913
2541,13,0.854826942212803,Unknown,Unknown,,Unknown,0.0,,khaki,"[235, 224, 122]",61013,4616.927272727273,4343.509090909091
2542,34,0.7474374184601957,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1620,112.0,4340.5
2543,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1576,6378.0,4343.0
2544,35,1.0,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",12920,4352.419354838709,4327.193548387097
2545,35,1.0,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",10258,3760.46,4360.2
2546,18,1.0,Unknown,Unknown,,Unknown,0.0,,palevioletred,"[240, 82, 141]",12674,441.7763157894737,4345.934210526316
2547,34,0.972878927074833,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",7300,4760.080459770115,4380.724137931034
2548,3,0.9996548565388726,Unknown,Unknown,,Unknown,0.0,,khaki,"[236, 236, 139]",2960,4840.978947368421,4375.926315789474
2549,35,0.9827059302210778,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",14731,3353.1136363636365,4345.090909090909
2550,34,0.7474374184601957,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1700,129.0,4361.428571428572
2551,18,1.0,Unknown,Unknown,,Unknown,0.0,,palevioletred,"[240, 82, 141]",747,162.625,4370.291666666667
2552,35,0.9896276146981552,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",2434,4228.467391304348,4367.891304347826
2553,35,0.9659421971462094,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",11615,3510.1521739130435,4351.869565217391
2554,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1501,6378.0,4363.285714285715
2555,28,1.0,Unknown,Unknown,,Unknown,0.0,,violet,"[239, 95, 238]",23851,1103.125,4330.03125
2556,35,0.9849170263198757,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",6952,3921.633333333333,4367.233333333334
2557,35,1.0,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",11173,4361.461538461538,4409.153846153846
2558,35,1.0,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",19574,3987.6388888888887,4380.25
2559,34,0.7407317328747898,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1575,144.88888888888889,4381.722222222223
2560,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1426,6378.0,4383.0
